Effective To Date,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Claim Reason,Sales Channel,Vehicle Class,Vehicle Size
1,58776,83,20,50,2,4,Missouri,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Scratch/Dent,Branch,Four-Door Car,Medsize
52,0,73,33,8,0,2,Nebraska,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Hail,Call Center,Four-Door Car,Small
35,0,87,6,3,0,1,Kansas,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Medsize
29,0,73,35,52,3,5,Oklahoma,Yes,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Collision,Web,Two-Door Car,Medsize
55,25147,101,7,54,0,1,Oklahoma,Yes,Basic,High School or Below,Retired,F,Suburban,Single,Personal Auto,Personal L2,Collision,Agent,SUV,Medsize
22,61776,73,9,61,3,6,Missouri,No,Basic,Doctor,Employed,M,Urban,Divorced,Personal Auto,Personal L2,Scratch/Dent,Agent,Two-Door Car,Medsize
53,12677,101,21,18,0,9,Nebraska,No,Basic,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Collision,Call Center,SUV,Medsize
3,33832,67,22,47,1,9,Iowa,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Scratch/Dent,Branch,Four-Door Car,Small
14,18495,113,10,15,0,2,Nebraska,Yes,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Personal L2,Collision,Branch,SUV,Large
14,40589,69,23,68,0,2,Nebraska,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Other,Branch,Four-Door Car,Medsize
6,81883,114,15,40,0,1,Missouri,No,Premium,Master,Employed,F,Urban,Married,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Medsize
12,63009,112,17,49,0,2,Kansas,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Scratch/Dent,Call Center,Sports Car,Small
19,0,87,23,73,1,5,Oklahoma,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Medsize
54,88440,70,19,30,0,2,Nebraska,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L3,Other,Branch,Two-Door Car,Medsize
41,17950,118,34,24,0,4,Iowa,No,Basic,College,Disabled,M,Urban,Married,Personal Auto,Personal L2,Collision,Agent,SUV,Medsize
1,24065,111,30,1,0,5,Nebraska,No,Premium,College,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Collision,Branch,Four-Door Car,Medsize
33,60445,65,8,53,0,8,Kansas,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Hail,Branch,Four-Door Car,Medsize
52,0,137,18,50,0,1,Nebraska,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Hail,Agent,SUV,Medsize
5,49853,109,17,47,0,1,Iowa,No,Premium,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Medsize
10,0,137,34,77,0,4,Missouri,No,Extended,College,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L2,Collision,Branch,SUV,Medsize
10,65247,72,14,55,0,1,Kansas,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Collision,Agent,Four-Door Car,Medsize
41,0,73,35,87,1,1,Iowa,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Small
30,26057,74,3,63,0,2,Oklahoma,Yes,Basic,Master,Disabled,M,Suburban,Divorced,Personal Auto,Personal L1,Collision,Call Center,Four-Door Car,Small
2,0,122,9,48,0,2,Iowa,No,Extended,Doctor,Unemployed,M,Suburban,Married,Special Auto,Special L2,Collision,Agent,Sports Car,Medsize
32,0,136,31,75,4,3,Missouri,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Collision,Call Center,SUV,Medsize
36,37899,187,9,11,0,5,Missouri,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L1,Other,Branch,Luxury SUV,Medsize
37,53243,66,4,15,2,1,Nebraska,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Collision,Call Center,Four-Door Car,Medsize
18,21150,116,8,1,0,4,Missouri,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Other,Branch,SUV,Medsize
41,90551,61,28,4,4,2,Kansas,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Other,Call Center,Four-Door Car,Small
42,25965,65,23,27,0,1,Nebraska,Yes,Basic,High School or Below,Medical Leave,F,Suburban,Divorced,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
42,57659,111,24,31,0,2,Iowa,No,Premium,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Medsize
36,93210,107,6,9,2,2,Kansas,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,SUV,Small
39,46900,66,13,59,0,1,Nebraska,Yes,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
54,0,82,12,67,0,1,Kansas,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Scratch/Dent,Agent,Four-Door Car,Medsize
24,28786,71,30,69,1,1,Missouri,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
37,29486,62,19,73,0,1,Iowa,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
6,0,61,22,94,0,2,Missouri,No,Basic,College,Unemployed,F,Urban,Married,Special Auto,Special L3,Collision,Branch,Four-Door Car,Medsize
28,58577,110,6,62,0,1,Iowa,Yes,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
