Customer,Country,State Code,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
BU79786,US,KS,Kansas,No,Basic,Bachelor,2/24/11,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Collision,Agent,384.811147,Two-Door Car,Medsize
QZ44356,US,NE,Nebraska,No,Extended,Bachelor,1/31/11,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Scratch/Dent,Agent,1131.464935,Four-Door Car,Medsize
AI49188,US,OK,Oklahoma,No,Premium,Bachelor,2/19/11,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Collision,Agent,566.472247,Two-Door Car,Medsize
WW63253,US,MO,Missouri,No,Basic,Bachelor,1/20/11,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Collision,Call Center,529.881344,SUV,Medsize
HB64268,US,KS,Kansas,No,Basic,Bachelor,02/03/2011,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Personal L1,Collision,Agent,138.130879,Four-Door Car,Medsize
OC83172,US,IA,Iowa,Yes,Basic,Bachelor,1/25/11,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Hail,Web,159.383042,Two-Door Car,Medsize
XZ87318,US,IA,Iowa,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Collision,Agent,321.6,Four-Door Car,Medsize
CF85061,US,NE,Nebraska,No,Premium,Master,1/18/11,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Collision,Agent,363.02968,Four-Door Car,Medsize
DY87989,US,IA,Iowa,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Corporate L3,Collision,Agent,511.2,Four-Door Car,Medsize
BQ94931,US,IA,Iowa,No,Extended,College,2/17/11,Employed,F,28812,Urban,Married,93,17,7,0,8,Special Auto,Special L2,Hail,Branch,425.527834,Four-Door Car,Medsize
SX51350,US,MO,Missouri,No,Basic,College,2/21/11,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Collision,Agent,482.4,Four-Door Car,Small
VQ65197,US,MO,Missouri,No,Basic,College,01/06/2011,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Hail,Agent,528,SUV,Medsize
DP39365,US,MO,Missouri,No,Premium,Master,02/06/2011,Employed,M,77026,Urban,Married,110,9,82,2,3,Corporate Auto,Corporate L1,Hail,Agent,472.029737,Four-Door Car,Medsize
SJ95423,US,NE,Nebraska,Yes,Basic,High School or Below,01/10/2011,Employed,M,99845,Suburban,Married,110,23,25,1,8,Corporate Auto,Corporate L3,Hail,Branch,528,SUV,Medsize
IL66569,US,MO,Missouri,No,Basic,College,1/18/11,Employed,M,83689,Urban,Single,70,21,10,2,8,Corporate Auto,Corporate L3,Other,Call Center,307.139132,Four-Door Car,Medsize
BW63560,US,IA,Iowa,No,Basic,Bachelor,1/17/11,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Hail,Branch,42.920271,Four-Door Car,Medsize
FV94802,US,OK,Oklahoma,No,Basic,High School or Below,02/06/2011,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Hail,Call Center,454.245098,Two-Door Car,Medsize
OE15005,US,MO,Missouri,No,Basic,College,01/05/2011,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Scratch/Dent,Call Center,647.442031,SUV,Medsize
WC83389,US,IA,Iowa,No,Basic,College,2/27/11,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Hail,Branch,308.981664,Four-Door Car,Medsize
FL50705,US,MO,Missouri,No,Premium,High School or Below,1/14/11,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Collision,Call Center,484.8,Four-Door Car,Small
ZK25313,US,IA,Iowa,No,Basic,High School or Below,2/19/11,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Collision,Branch,355.2,Two-Door Car,Medsize
SV62436,US,KS,Kansas,No,Extended,Bachelor,1/21/11,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Other,Call Center,379.2,Four-Door Car,Medsize
YH23384,US,NE,Nebraska,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Collision,Agent,511.2,Four-Door Car,Medsize
TZ98966,US,OK,Oklahoma,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Collision,Branch,554.376763,Four-Door Car,Medsize
HM55802,US,MO,Missouri,No,Basic,Bachelor,02/05/2011,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Hail,Branch,439.2,Four-Door Car,Medsize
FS42516,US,IA,Iowa,No,Basic,College,1/29/11,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Hail,Call Center,389.185006,Four-Door Car,Large
US89481,US,MO,Missouri,No,Premium,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Collision,Agent,799.2,Four-Door Car,Small
HO30839,US,KS,Kansas,No,Extended,Master,02/12/2011,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Collision,Branch,516.237951,SUV,Medsize
GE62437,US,NE,Nebraska,No,Premium,College,02/02/2011,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal Auto,Personal L3,Collision,Call Center,532.8,Four-Door Car,Large
EJ77678,US,IA,Iowa,No,Extended,Master,02/07/2011,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal Auto,Personal L3,Hail,Branch,384,Four-Door Car,Small
SV85652,US,NE,Nebraska,No,Basic,College,2/28/11,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Other,Call Center,322.294043,Four-Door Car,Small
