Customer,Country,State Code,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
KL27226,US,MO,Missouri,No,Extended,Bachelor,01/02/2011,Employed,M,58776,Suburban,Divorced,83,20,50,2,4,Personal Auto,Personal L3,Scratch/Dent,Branch,478.75066699999996,Four-Door Car,Medsize
LN37854,US,NE,Nebraska,No,Basic,College,2/22/11,Unemployed,F,0,Suburban,Single,73,33,8,0,2,Personal Auto,Personal L1,Hail,Call Center,525.6,Four-Door Car,Small
XG19917,US,KS,Kansas,No,Extended,Bachelor,02/05/2011,Unemployed,F,0,Suburban,Single,87,6,3,0,1,Personal Auto,Personal L2,Hail,Branch,760.428495,Four-Door Car,Medsize
HX55735,US,OK,Oklahoma,Yes,Basic,Bachelor,1/30/11,Unemployed,F,0,Suburban,Single,73,35,52,3,5,Personal Auto,Personal L3,Collision,Web,350.4,Two-Door Car,Medsize
SD67101,US,OK,Oklahoma,Yes,Basic,High School or Below,2/25/11,Retired,F,25147,Suburban,Single,101,7,54,0,1,Personal Auto,Personal L2,Collision,Agent,694.598288,SUV,Medsize
JM59803,US,MO,Missouri,No,Basic,Doctor,1/23/11,Employed,M,61776,Urban,Divorced,73,9,61,3,6,Personal Auto,Personal L2,Scratch/Dent,Agent,343.278996,Two-Door Car,Medsize
GV68933,US,NE,Nebraska,No,Basic,High School or Below,2/23/11,Disabled,M,12677,Suburban,Married,101,21,18,0,9,Personal Auto,Personal L3,Collision,Call Center,500.633484,SUV,Medsize
NJ21108,US,IA,Iowa,No,Basic,Bachelor,01/04/2011,Employed,F,33832,Suburban,Married,67,22,47,1,9,Corporate Auto,Corporate L3,Scratch/Dent,Branch,321.6,Four-Door Car,Small
PH97342,US,NE,Nebraska,Yes,Basic,High School or Below,1/15/11,Disabled,F,18495,Suburban,Married,113,10,15,0,2,Personal Auto,Personal L2,Collision,Branch,542.4,SUV,Large
RN78170,US,NE,Nebraska,No,Basic,College,1/15/11,Employed,F,40589,Suburban,Divorced,69,23,68,0,2,Corporate Auto,Corporate L3,Other,Branch,331.2,Four-Door Car,Medsize
XA63646,US,MO,Missouri,No,Premium,Master,01/07/2011,Employed,F,81883,Urban,Married,114,15,40,0,1,Personal Auto,Personal L3,Hail,Branch,376.002146,Four-Door Car,Medsize
HT16519,US,KS,Kansas,No,Basic,Bachelor,1/13/11,Employed,F,63009,Urban,Married,112,17,49,0,2,Personal Auto,Personal L3,Scratch/Dent,Call Center,485.28681500000005,Sports Car,Small
UZ60774,US,OK,Oklahoma,No,Extended,Bachelor,1/20/11,Unemployed,F,0,Suburban,Single,87,23,73,1,5,Personal Auto,Personal L3,Hail,Branch,626.4,Four-Door Car,Medsize
TN36521,US,NE,Nebraska,No,Basic,College,2/24/11,Employed,F,88440,Rural,Single,70,19,30,0,2,Personal Auto,Personal L3,Other,Branch,27.145151000000002,Two-Door Car,Medsize
UY61913,US,IA,Iowa,No,Basic,College,02/11/2011,Disabled,M,17950,Urban,Married,118,34,24,0,4,Personal Auto,Personal L2,Collision,Agent,425.489592,SUV,Medsize
UA84837,US,NE,Nebraska,No,Premium,College,01/02/2011,Employed,M,24065,Suburban,Divorced,111,30,1,0,5,Corporate Auto,Corporate L2,Collision,Branch,532.8,Four-Door Car,Medsize
UF28233,US,KS,Kansas,No,Basic,High School or Below,02/03/2011,Employed,F,60445,Urban,Married,65,8,53,0,8,Personal Auto,Personal L1,Hail,Branch,279.45035099999996,Four-Door Car,Medsize
NZ19529,US,NE,Nebraska,No,Extended,High School or Below,2/22/11,Unemployed,M,0,Suburban,Single,137,18,50,0,1,Personal Auto,Personal L1,Hail,Agent,1227.458548,SUV,Medsize
CQ19667,US,IA,Iowa,No,Premium,Bachelor,01/06/2011,Employed,F,49853,Suburban,Single,109,17,47,0,1,Personal Auto,Personal L3,Collision,Branch,679.534284,Four-Door Car,Medsize
UV69038,US,MO,Missouri,No,Extended,College,01/11/2011,Unemployed,M,0,Suburban,Single,137,34,77,0,4,Corporate Auto,Corporate L2,Collision,Branch,657.6,SUV,Medsize
GI36262,US,KS,Kansas,No,Basic,College,01/11/2011,Employed,F,65247,Suburban,Married,72,14,55,0,1,Corporate Auto,Corporate L2,Collision,Agent,381.23817599999995,Four-Door Car,Medsize
IV55977,US,IA,Iowa,No,Basic,Bachelor,02/11/2011,Unemployed,M,0,Suburban,Married,73,35,87,1,1,Personal Auto,Personal L3,Hail,Web,350.4,Two-Door Car,Small
TZ47750,US,OK,Oklahoma,Yes,Basic,Master,1/31/11,Disabled,M,26057,Suburban,Divorced,74,3,63,0,2,Personal Auto,Personal L1,Collision,Call Center,523.8888450000001,Four-Door Car,Small
HB35022,US,IA,Iowa,No,Extended,Doctor,01/03/2011,Unemployed,M,0,Suburban,Married,122,9,48,0,2,Special Auto,Special L2,Collision,Agent,585.6,Sports Car,Medsize
UH76090,US,MO,Missouri,No,Extended,Bachelor,02/02/2011,Unemployed,F,0,Suburban,Single,136,31,75,4,3,Personal Auto,Personal L1,Collision,Call Center,1237.257917,SUV,Medsize
RX45809,US,MO,Missouri,No,Basic,College,02/06/2011,Employed,M,37899,Rural,Married,187,9,11,0,5,Personal Auto,Personal L1,Other,Branch,246.99314500000003,Luxury SUV,Medsize
WC35801,US,NE,Nebraska,No,Basic,High School or Below,02/07/2011,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Collision,Call Center,157.397849,Four-Door Car,Medsize
QT63794,US,MO,Missouri,No,Basic,Bachelor,1/19/11,Employed,F,21150,Suburban,Married,116,8,1,0,4,Personal Auto,Personal L3,Other,Branch,833.417104,SUV,Medsize
NK26146,US,KS,Kansas,No,Basic,College,02/11/2011,Employed,F,90551,Suburban,Divorced,61,28,4,4,2,Corporate Auto,Corporate L3,Other,Call Center,374.527412,Four-Door Car,Small
PO90615,US,NE,Nebraska,Yes,Basic,High School or Below,02/12/2011,Medical Leave,F,25965,Suburban,Divorced,65,23,27,0,1,Personal Auto,Personal L2,Collision,Agent,329.206567,Four-Door Car,Medsize
XQ39498,US,IA,Iowa,No,Premium,High School or Below,02/12/2011,Employed,M,57659,Suburban,Divorced,111,24,31,0,2,Personal Auto,Personal L1,Collision,Agent,756.37287,Four-Door Car,Medsize
ON90223,US,KS,Kansas,No,Basic,College,02/06/2011,Employed,M,93210,Suburban,Married,107,6,9,2,2,Personal Auto,Personal L3,Collision,Agent,513.6,SUV,Small
RU76604,US,NE,Nebraska,Yes,Basic,College,02/09/2011,Employed,M,46900,Suburban,Married,66,13,59,0,1,Personal Auto,Personal L3,Hail,Web,316.8,Four-Door Car,Medsize
GH36606,US,KS,Kansas,No,Extended,College,2/24/11,Unemployed,M,0,Suburban,Single,82,12,67,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,590.4,Four-Door Car,Medsize
EJ90880,US,MO,Missouri,No,Basic,College,1/25/11,Employed,M,28786,Suburban,Married,71,30,69,1,1,Personal Auto,Personal L3,Collision,Agent,345.619809,Four-Door Car,Medsize
OJ90342,US,IA,Iowa,No,Basic,Bachelor,02/07/2011,Employed,F,29486,Rural,Married,62,19,73,0,1,Personal Auto,Personal L3,Hail,Web,7.646763000000001,Four-Door Car,Medsize
ZO44848,US,MO,Missouri,No,Basic,College,01/07/2011,Unemployed,F,0,Urban,Married,61,22,94,0,2,Special Auto,Special L3,Collision,Branch,216.08671,Four-Door Car,Medsize
UA94723,US,IA,Iowa,Yes,Basic,High School or Below,1/29/11,Employed,F,58577,Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Collision,Agent,303.872752,SUV,Medsize
EB52195,US,IA,Iowa,No,Basic,College,1/21/11,Employed,F,40639,Urban,Married,67,21,77,0,2,Personal Auto,Personal L3,Other,Branch,301.60252,Four-Door Car,Medsize
NY20756,US,MO,Missouri,No,Extended,High School or Below,1/28/11,Employed,M,36568,Suburban,Married,128,28,34,0,6,Personal Auto,Personal L3,Collision,Agent,978.6213019999999,SUV,Medsize
AA11235,US,OK,Oklahoma,No,Basic,Bachelor,1/28/11,Medical Leave,F,11167,Suburban,Married,73,0,99,3,1,Personal Auto,Personal L3,Hail,Branch,350.4,Two-Door Car,Medsize
SY56792,US,IA,Iowa,No,Premium,High School or Below,01/04/2011,Unemployed,M,0,Suburban,Divorced,101,16,88,0,8,Corporate Auto,Corporate L3,Scratch/Dent,Web,727.2,Four-Door Car,Medsize
VM85555,US,MO,Missouri,No,Basic,College,2/23/11,Employed,F,22668,Rural,Single,67,5,34,1,2,Personal Auto,Personal L2,Scratch/Dent,Branch,33.718553,Four-Door Car,Medsize
RO18530,US,KS,Kansas,No,Basic,Master,2/28/11,Employed,M,42557,Rural,Single,65,4,35,0,1,Personal Auto,Personal L3,Other,Agent,57.562324,Four-Door Car,Large
UH65059,US,NE,Nebraska,No,Basic,High School or Below,1/21/11,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Collision,Agent,523.2,Sports Car,Medsize
IJ18945,US,KS,Kansas,No,Extended,College,01/04/2011,Employed,F,20954,Suburban,Married,78,15,27,0,1,Special Auto,Special L1,Hail,Agent,534.501024,Four-Door Car,Medsize
LC27380,US,IA,Iowa,No,Basic,High School or Below,01/06/2011,Employed,F,32224,Rural,Married,72,27,21,0,3,Personal Auto,Personal L2,Collision,Branch,19.281882,Four-Door Car,Medsize
IK12576,US,IA,Iowa,No,Premium,Bachelor,2/13/11,Employed,F,95647,Suburban,Single,106,11,30,0,1,Personal Auto,Personal L2,Collision,Agent,508.8,Two-Door Car,Medsize
NA39347,US,MO,Missouri,No,Basic,College,2/20/11,Employed,M,73976,Urban,Divorced,73,27,84,0,3,Personal Auto,Personal L2,Hail,Web,338.529369,Four-Door Car,Medsize
SX25962,US,NE,Nebraska,No,Basic,College,2/18/11,Employed,M,83283,Rural,Single,193,11,46,1,3,Personal Auto,Personal L2,Scratch/Dent,Branch,273.70270899999997,Luxury Car,Medsize
SW42446,US,MO,Missouri,No,Extended,College,2/14/11,Employed,F,42513,Urban,Married,133,0,44,0,3,Corporate Auto,Corporate L3,Collision,Agent,628.2075110000001,Sports Car,Small
ON34922,US,IA,Iowa,No,Basic,High School or Below,02/02/2011,Employed,M,61894,Urban,Married,67,22,38,0,4,Personal Auto,Personal L3,Scratch/Dent,Branch,266.99681400000003,Four-Door Car,Small
VQ57815,US,IA,Iowa,No,Basic,Doctor,01/01/2011,Employed,M,61246,Rural,Married,110,24,21,0,3,Personal Auto,Personal L2,Hail,Branch,159.239518,Sports Car,Medsize
UL90124,US,IA,Iowa,No,Extended,High School or Below,2/21/11,Employed,F,72919,Suburban,Married,130,20,22,5,1,Personal Auto,Personal L3,Other,Agent,936.0,SUV,Small
AK90865,US,IA,Iowa,No,Basic,High School or Below,2/22/11,Unemployed,F,0,Suburban,Single,110,16,17,0,5,Special Auto,Special L2,Hail,Agent,686.90827,Sports Car,Medsize
ZR66788,US,MO,Missouri,No,Basic,High School or Below,01/08/2011,Employed,F,39161,Suburban,Married,71,8,84,3,1,Personal Auto,Personal L3,Collision,Branch,340.8,Four-Door Car,Medsize
MU75490,US,IA,Iowa,No,Basic,Bachelor,1/25/11,Employed,M,31756,Urban,Married,107,1,97,0,3,Corporate Auto,Corporate L3,Collision,Agent,415.850776,SUV,Medsize
QW10541,US,MO,Missouri,No,Basic,High School or Below,1/31/11,Employed,F,25714,Suburban,Married,67,17,57,0,5,Personal Auto,Personal L3,Hail,Agent,321.6,Two-Door Car,Small
